"id","change_type","accuracy","sequence"
1,0,1,"pure_repetition"
1,1,1,"pure_repetition"
1,0,1,"pure_repetition"
1,1,1,"pure_repetition"
1,0,1,"pure_repetition"
1,0,1,"pure_repetition"
1,0,1,"pure_repetition"
1,1,1,"pure_repetition"
1,1,1,"pure_repetition"
1,0,1,"pure_repetition"
1,0,1,"pure_repetition"
1,1,1,"pure_repetition"
1,1,1,"pure_repetition"
1,0,1,"pure_repetition"
1,1,1,"pure_repetition"
1,0,1,"pure_repetition"
1,1,1,"pure_repetition"
1,1,1,"pure_repetition"
1,1,1,"pure_repetition"
1,0,1,"pure_repetition"
1,1,1,"pure_repetition"
1,0,1,"pure_repetition"
1,0,1,"pure_repetition"
1,0,1,"pure_repetition"
1,0,1,"pure_repetition"
1,0,1,"pure_repetition"
1,0,1,"pure_repetition"
1,0,1,"pure_repetition"
1,0,1,"pure_repetition"
1,1,1,"pure_repetition"
1,1,1,"pure_repetition"
1,0,1,"pure_repetition"
1,1,1,"pure_repetition"
1,1,1,"pure_repetition"
1,1,1,"pure_repetition"
1,0,1,"pure_repetition"
1,0,1,"pure_repetition"
1,0,1,"pure_repetition"
1,1,1,"pure_repetition"
1,0,1,"pure_repetition"
1,0,0,"pure_repetition"
1,1,1,"pure_repetition"
1,1,1,"pure_repetition"
1,1,1,"pure_repetition"
1,0,1,"pure_repetition"
1,0,1,"pure_repetition"
1,0,1,"pure_repetition"
1,0,1,"pure_repetition"
1,0,1,"pure_repetition"
1,0,1,"pure_repetition"
1,1,1,"pure_repetition"
1,1,1,"pure_repetition"
1,1,1,"pure_repetition"
1,0,1,"pure_repetition"
1,1,1,"pure_repetition"
1,1,1,"pure_repetition"
1,1,1,"pure_repetition"
1,0,1,"pure_repetition"
1,0,1,"pure_repetition"
1,1,1,"pure_repetition"
1,1,1,"pure_repetition"
1,0,1,"pure_repetition"
1,1,1,"pure_repetition"
1,0,1,"pure_repetition"
1,0,1,"pure_repetition"
1,1,1,"pure_repetition"
1,0,1,"pure_repetition"
1,1,1,"pure_repetition"
1,0,1,"pure_repetition"
1,0,1,"pure_repetition"
1,0,1,"pure_repetition"
1,1,1,"pure_repetition"
1,0,1,"pure_repetition"
1,1,1,"pure_repetition"
1,0,1,"pure_repetition"
1,1,1,"pure_repetition"
1,0,1,"pure_repetition"
1,0,1,"pure_repetition"
1,0,1,"pure_repetition"
1,0,1,"pure_repetition"
1,1,1,"pure_repetition"
1,0,1,"pure_repetition"
1,0,1,"pure_repetition"
1,0,1,"pure_repetition"
1,0,1,"pure_repetition"
1,0,1,"pure_repetition"
1,1,1,"pure_repetition"
1,1,1,"pure_repetition"
1,0,1,"pure_repetition"
1,1,1,"pure_repetition"
1,0,1,"pure_repetition"
1,1,1,"pure_repetition"
1,0,1,"pure_repetition"
1,0,1,"pure_repetition"
1,1,1,"pure_repetition"
1,1,1,"pure_repetition"
1,0,1,"pure_repetition"
1,0,1,"pure_repetition"
1,0,1,"pure_repetition"
1,1,1,"pure_repetition"
1,0,1,"pure_repetition"
1,0,1,"pure_repetition"
1,1,1,"pure_repetition"
1,0,1,"pure_repetition"
1,0,1,"pure_repetition"
1,1,1,"pure_repetition"
1,1,1,"pure_repetition"
1,1,1,"pure_repetition"
1,0,1,"pure_repetition"
1,0,1,"pure_repetition"
1,0,1,"pure_repetition"
1,1,1,"pure_repetition"
1,1,1,"pure_repetition"
1,1,1,"pure_repetition"
1,0,1,"pure_repetition"
1,0,1,"pure_repetition"
1,0,1,"pure_repetition"
1,0,1,"pure_repetition"
1,1,1,"pure_repetition"
1,0,1,"pure_repetition"
1,0,1,"pure_repetition"
1,1,1,"pure_repetition"
1,1,1,"pure_repetition"
1,0,1,"pure_repetition"
1,0,1,"pure_repetition"
1,1,1,"pure_repetition"
1,1,1,"pure_repetition"
1,1,1,"pure_repetition"
1,0,1,"pure_repetition"
1,1,1,"pure_repetition"
1,1,1,"pure_repetition"
1,0,1,"pure_repetition"
1,1,1,"pure_repetition"
1,0,1,"pure_repetition"
1,0,1,"pure_repetition"
1,0,1,"pure_repetition"
1,0,1,"pure_repetition"
1,1,1,"pure_repetition"
1,1,0,"pure_repetition"
1,1,1,"pure_repetition"
1,1,1,"pure_repetition"
1,1,1,"pure_repetition"
1,0,1,"pure_repetition"
1,0,1,"pure_repetition"
1,1,1,"mixed_repetition"
1,1,1,"mixed_repetition"
1,1,1,"mixed_repetition"
1,1,1,"mixed_repetition"
